order,Delay,Test.Time,Participant.Private.ID,lure_word,original_response,lure_recalled
215,delay,AM,8389380,cold,NA,0
216,delay,AM,8389380,mountain,NA,0
217,delay,AM,8389380,slow,NA,0
218,delay,AM,8389380,river,NA,0
219,delay,AM,8389380,spider,NA,0
220,delay,AM,8389380,foot,NA,0
221,delay,AM,8389436,window,NA,0
222,delay,AM,8389436,sleep,NA,0
223,delay,AM,8389436,doctor,NA,0
224,delay,AM,8389436,smell,smell,1
225,delay,AM,8389436,chair,NA,0
226,delay,AM,8389436,smoke,NA,0
227,delay,AM,8389436,sweet,NA,0
228,delay,AM,8389436,rough,NA,0
229,delay,AM,8389436,needle,needle,1
230,delay,AM,8389436,rubbish,NA,0
231,delay,AM,8389436,anger,NA,0
232,delay,AM,8389436,soft,NA,0
233,delay,AM,8389436,city,NA,0
234,delay,AM,8389436,cup,NA,0
235,delay,AM,8389436,cold,NA,0
236,delay,AM,8389436,mountain,NA,0
237,delay,AM,8389436,slow,slow,1
238,delay,AM,8389436,river,NA,0
239,delay,AM,8389436,spider,NA,0
240,delay,AM,8389436,foot,NA,0
241,delay,AM,8354648,window,window,1
242,delay,AM,8354648,sleep,NA,0
243,delay,AM,8354648,doctor,doctor,1
244,delay,AM,8354648,smell,smell,1
245,delay,AM,8354648,chair,chair,1
246,delay,AM,8354648,smoke,smoke,1
247,delay,AM,8354648,sweet,sweet,1
248,delay,AM,8354648,rough,NA,0
249,delay,AM,8354648,needle,NA,0
250,delay,AM,8354648,rubbish,rubbihs,1
251,delay,AM,8354648,anger,NA,0
252,delay,AM,8354648,soft,NA,0
253,delay,AM,8354648,city,NA,0
254,delay,AM,8354648,cup,cup,1
255,delay,AM,8354648,cold,cold,1
256,delay,AM,8354648,mountain,mountain,1
257,delay,AM,8354648,slow,NA,0
258,delay,AM,8354648,river,river,1
259,delay,AM,8354648,spider,NA,0
260,delay,AM,8354648,foot,NA,0
261,delay,AM,8393200,window,NA,0
262,delay,AM,8393200,sleep,NA,0
263,delay,AM,8393200,doctor,NA,0
264,delay,AM,8393200,smell,NA,0
265,delay,AM,8393200,chair,NA,0
266,delay,AM,8393200,smoke,NA,0
267,delay,AM,8393200,sweet,NA,0
268,delay,AM,8393200,rough,NA,0
269,delay,AM,8393200,needle,needle,1
270,delay,AM,8393200,rubbish,NA,0
271,delay,AM,8393200,anger,NA,0
272,delay,AM,8393200,soft,NA,0
273,delay,AM,8393200,city,NA,0
274,delay,AM,8393200,cup,NA,0
275,delay,AM,8393200,cold,NA,0
276,delay,AM,8393200,mountain,mountain,1
277,delay,AM,8393200,slow,NA,0
278,delay,AM,8393200,river,NA,0
279,delay,AM,8393200,spider,NA,0
280,delay,AM,8393200,foot,NA,0
281,delay,AM,8342559,window,NA,0
282,delay,AM,8342559,sleep,sleep,1
283,delay,AM,8342559,doctor,NA,0
284,delay,AM,8342559,smell,NA,0
285,delay,AM,8342559,chair,NA,0
286,delay,AM,8342559,smoke,NA,0
287,delay,AM,8342559,sweet,NA,0
288,delay,AM,8342559,rough,NA,0
289,delay,AM,8342559,needle,needle,1
290,delay,AM,8342559,rubbish,NA,0
291,delay,AM,8342559,anger,NA,0
292,delay,AM,8342559,soft,NA,0
293,delay,AM,8342559,city,NA,0
294,delay,AM,8342559,cup,NA,0
295,delay,AM,8342559,cold,NA,0
296,delay,AM,8342559,mountain,NA,0
297,delay,AM,8342559,slow,NA,0
298,delay,AM,8342559,river,NA,0
299,delay,AM,8342559,spider,NA,0
300,delay,AM,8342559,foot,NA,0
301,delay,AM,8258034,window,NA,0
302,delay,AM,8258034,sleep,NA,0
303,delay,AM,8258034,doctor,NA,0
304,delay,AM,8258034,smell,NA,0
305,delay,AM,8258034,chair,NA,0
306,delay,AM,8258034,smoke,NA,0
307,delay,AM,8258034,sweet,NA,0
308,delay,AM,8258034,rough,NA,0
309,delay,AM,8258034,needle,NA,0
310,delay,AM,8258034,rubbish,NA,0
311,delay,AM,8258034,anger,NA,0
312,delay,AM,8258034,soft,NA,0
313,delay,AM,8258034,city,NA,0
314,delay,AM,8258034,cup,NA,0
315,delay,AM,8258034,cold,NA,0
316,delay,AM,8258034,mountain,NA,0
317,delay,AM,8258034,slow,NA,0
318,delay,AM,8258034,river,NA,0
319,delay,AM,8258034,spider,NA,0
320,delay,AM,8258034,foot,NA,0
321,delay,AM,8247940,window,NA,0
322,delay,AM,8247940,sleep,NA,0
323,delay,AM,8247940,doctor,NA,0
324,delay,AM,8247940,smell,NA,0
325,delay,AM,8247940,chair,NA,0
